ID OMM station;Date;Pression au niveau mer;Direction du vent moyen 10 mn;Vitesse du vent moyen 10 mn;Humidité;Pression station;Variation de pression en 24 heures;Précipitations dans les 24 dernières heures;Coordonnees;Température (°C);Température minimale sur 24 heures (°C);Température maximale sur 24 heures (°C);Altitude;communes (code)
07335;2010-01-07T13:00:00+01:00;101010;340;3.6;83;99500.0;;;46.593833,0.314333;-1.5;;;123;86194
07222;2010-01-07T16:00:00+01:00;101180;20;5.1;63;100860.0;;;47.15,-1.608833;2.3000000000000114;;;26;44150
07650;2010-01-07T16:00:00+01:00;100460;40;3.1;50;100070.0;;;43.437667,5.216;6.600000000000023;;;9;13054
61972;2010-01-07T19:00:00+01:00;100940;160;8.2;;;;;-22.344167,40.340667;27.200000000000045;;;6;
07015;2010-01-07T22:00:00+01:00;101430;80;1.0;88;100820.0;;;50.57,3.0975;-7.099999999999966;;;47;59256
07280;2010-01-07T22:00:00+01:00;101190;360;2.6;97;98350.0;;;47.267833,5.088333;-1.8999999999999773;;;219;21473
81405;2010-01-07T22:00:00+01:00;101140;70;2.1;76;101050.0;;;4.822333,-52.365333;27.100000000000023;;;4;97307
07020;2010-01-08T01:00:00+01:00;101630;20;10.3;77;101550.0;;;49.725167,-1.939833;3.3000000000000114;;;6;50041
07207;2010-01-08T01:00:00+01:00;101660;30;2.6;81;101120.0;;;47.294333,-3.218333;-0.0999999999999659;;;34;56009
07621;2010-01-08T01:00:00+01:00;100860;30;2.6;95;96390.0;;;43.188,0.0;-0.8999999999999773;;;360;65284
07747;2010-01-08T01:00:00+01:00;100290;310;5.7;87;99750.0;;;42.737167,2.872833;3.0;;;42;66136
07434;2010-01-08T04:00:00+01:00;101070;40;5.1;91;96070.0;;;45.861167,1.175;-3.8999999999999773;;;402;87085
61998;2010-01-08T04:00:00+01:00;101030;240;2.1;78;;2350.0;;-49.352333,70.243333;6.100000000000023;;;29;
07314;2010-01-08T07:00:00+01:00;101380;10;8.7;87;101090.0;;0.0;46.046833,-1.4115;0.30000000000001137;;;11;17323
07015;2010-01-08T13:00:00+01:00;101980;60;7.2;83;101380.0;;;50.57,3.0975;-3.2999999999999545;;;47;59256
07110;2010-01-06T13:00:00+01:00;99990;350;7.7;83;98820.0;;;48.444167,-4.412;1.900000000000034;;;94;29075
07168;2010-01-06T16:00:00+01:00;100390;150;2.1;84;98980.0;;;48.324667,4.02;-4.0;;;112;10030
07222;2010-01-06T16:00:00+01:00;100000;210;4.1;84;99680.0;;;47.15,-1.608833;2.8000000000000114;;;26;44150
07630;2010-01-06T16:00:00+01:00;100500;300;4.1;70;98580.0;;;43.621,1.378833;5.7000000000000455;;;151;31069
07015;2010-01-06T19:00:00+01:00;100480;160;1.5;77;99890.0;;;50.57,3.0975;-3.1999999999999886;;;47;59256
07481;2010-01-06T19:00:00+01:00;100570;160;1.5;76;97600.0;;;45.7265,5.077833;-1.0;;;235;69299
07627;2010-01-06T22:00:00+01:00;100710;160;2.6;78;95700.0;;;43.005333,1.106833;0.20000000000004547;;;414;09289
07510;2010-01-07T01:00:00+01:00;100490;180;3.6;97;99820.0;;;44.830667,-0.691333;1.2000000000000455;;;47;33281
78925;2010-01-07T01:00:00+01:00;101520;40;2.1;80;;;0.2;14.595333,-60.995667;25.400000000000034;;;3;97213
81408;2010-01-07T01:00:00+01:00;101120;330;1.0;90;101040.0;;;3.890667,-51.804667;25.100000000000023;;;6;97308
78925;2010-01-07T04:00:00+01:00;101550;20;0.5;84;;;;14.595333,-60.995667;24.100000000000023;;;3;97213
07434;2010-01-07T07:00:00+01:00;100540;220;4.1;100;95630.0;;0.6;45.861167,1.175;-0.39999999999997726;;;402;87085
07690;2010-01-07T07:00:00+01:00;100580;320;6.2;58;100230.0;;0.0;43.648833,7.209;2.3000000000000114;;;2;06088
07015;2010-01-04T07:00:00+01:00;102110;260;0.5;91;101500.0;;0.2;50.57,3.0975;-6.599999999999966;;;47;59256
07020;2010-01-04T07:00:00+01:00;102020;120;4.6;66;101940.0;;0.0;49.725167,-1.939833;1.6000000000000227;;;6;50041
07335;2010-01-04T07:00:00+01:00;101570;40;4.6;89;100050.0;;0.0;46.593833,0.314333;-1.8999999999999773;;;123;86194
07630;2010-01-04T07:00:00+01:00;101190;170;1.5;94;99250.0;;4.0;43.621,1.378833;4.0;;;151;31069
07314;2010-01-04T10:00:00+01:00;101400;50;10.8;83;101110.0;;;46.046833,-1.4115;1.2000000000000455;;;11;17323
61980;2010-01-04T13:00:00+01:00;101100;90;3.1;82;;20.0;;-20.8925,55.528667;27.900000000000034;;;8;97418
61996;2010-01-04T13:00:00+01:00;100350;270;9.8;99;;;;-37.795167,77.569167;14.600000000000023;;;27;
71805;2010-01-04T16:00:00+01:00;98450;260;6.2;100;98360.0;;;46.766333,-56.179167;2.7000000000000455;;;21;
07207;2010-01-04T19:00:00+01:00;101360;70;9.8;50;100820.0;;;47.294333,-3.218333;0.4000000000000341;;;34;56009
07510;2010-01-04T19:00:00+01:00;100870;10;5.1;84;100200.0;;;44.830667,-0.691333;3.2000000000000455;;;47;33281
07577;2010-01-04T19:00:00+01:00;101140;10;4.1;94;100210.0;;;44.581167,4.733;0.7000000000000455;;;73;26198
07650;2010-01-04T19:00:00+01:00;100920;80;5.1;82;100530.0;;;43.437667,5.216;7.100000000000023;;;9;13054
61972;2010-01-04T19:00:00+01:00;101090;170;4.1;;;;;-22.344167,40.340667;27.700000000000045;;;6;
07240;2010-01-04T22:00:00+01:00;101370;60;4.6;81;99960.0;;;47.4445,0.727333;-4.199999999999989;;;108;37179
07577;2010-01-04T22:00:00+01:00;101120;10;5.7;90;100190.0;;;44.581167,4.733;0.30000000000001137;;;73;26198
07117;2010-01-05T01:00:00+01:00;101400;140;3.6;65;100670.0;;;48.825833,-3.473167;1.5;;;55;22168
07130;2010-01-05T01:00:00+01:00;101390;30;1.5;84;100840.0;;;48.068833,-1.734;-4.2999999999999545;;;36;35281
07149;2010-01-05T01:00:00+01:00;101440;80;1.0;90;100280.0;;;48.716833,2.384333;-5.599999999999966;;;89;91027
07190;2010-01-05T01:00:00+01:00;101370;20;4.1;78;99450.0;;;48.5495,7.640333;-3.8999999999999773;;;150;67212
07577;2010-01-05T01:00:00+01:00;100970;360;5.7;82;100040.0;;;44.581167,4.733;-0.0999999999999659;;;73;26198
07627;2010-01-05T01:00:00+01:00;100500;0;0.0;98;95600.0;;;43.005333,1.106833;5.2000000000000455;;;414;09289
78897;2010-01-05T01:00:00+01:00;101590;20;0.5;81;;200.0;0.2;16.264,-61.516333;25.400000000000034;;;11;97101
07577;2010-01-05T04:00:00+01:00;100780;10;5.7;82;99850.0;;;44.581167,4.733;-0.2999999999999545;;;73;26198
61980;2010-01-05T07:00:00+01:00;101200;70;1.0;79;;;16.0;-20.8925,55.528667;28.600000000000023;;;8;97418
67005;2010-01-05T07:00:00+01:00;101130;310;7.2;72;;;0.2;-12.8055,45.282833;29.80000000000001;;;7;97615
67005;2010-03-02T01:00:00+01:00;101210;0;0.0;94;;140.0;;-12.8055,45.282833;25.5;;;7;97615
07027;2010-03-02T04:00:00+01:00;101760;30;1.0;93;100920.0;;;49.18,-0.456167;2.7000000000000455;;;67;14137
78922;2010-03-02T04:00:00+01:00;101320;140;7.2;81;101020.0;;;14.7745,-60.875333;26.600000000000023;;;26;97230
07621;2010-03-02T07:00:00+01:00;102180;170;2.6;77;97680.0;;0.0;43.188,0.0;1.0;;;360;65284
07690;2010-03-02T10:00:00+01:00;101930;300;1.5;41;101590.0;;;43.648833,7.209;13.0;;;2;06088
61997;2010-03-02T10:00:00+01:00;97970;310;17.0;81;;;;-46.4325,51.856667;8.800000000000011;;;146;
07240;2010-03-02T13:00:00+01:00;102200;40;4.1;79;100840.0;;;47.4445,0.727333;8.900000000000034;;;108;37179
07255;2010-03-02T13:00:00+01:00;102170;290;1.5;66;100170.0;;;47.059167,2.359833;11.400000000000034;;;161;18033
07627;2010-03-02T16:00:00+01:00;101530;60;3.1;42;96750.0;;;43.005333,1.106833;15.400000000000034;;;414;09289
07005;2010-03-02T19:00:00+01:00;102520;30;2.6;70;101560.0;;;50.136,1.834;6.2000000000000455;;;69;80001
07149;2010-03-02T19:00:00+01:00;102330;60;4.6;53;101220.0;;;48.716833,2.384333;8.0;;;89;91027
07314;2010-03-02T22:00:00+01:00;101510;70;5.1;86;101230.0;;;46.046833,-1.4115;9.600000000000023;;;11;17323
07460;2010-03-02T22:00:00+01:00;101940;340;0.5;76;97980.0;;;45.786833,3.149333;6.0;;;331;63113
07510;2010-03-02T22:00:00+01:00;101340;60;4.1;59;100690.0;;;44.830667,-0.691333;11.600000000000023;;;47;33281
